TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,CLUSTER,214485170,4,-1,-1,5967,-1.0,86.0,0.065102115,0.035714287,1.7499995,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,LNA,202199882,4,-1,-1,10000,-1.0,83.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,STA,73515274,2,-1,-1,10000,-1.0,84.0,0.07769286,0.107142866,0.2857143,0.071428575
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,NA,109793540,2,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,IDA,35858023,2,-1,-1,10000,-1.0,85.0,0.07769286,0.107142866,0.2857143,0.071428575
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,VITRIVR,1048402645,2,-1,-1,10000,-1.0,90.0,0.07769286,0.107142866,0.2857143,0.071428575
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,CLUSTER,97581440,2,-1,-1,5967,-1.0,87.0,0.13020423,0.071428575,3.499999,0.071428575
3584f2e1-e562-4e4c-bf25-476d5f68d971,KIST,5.0E9,LNA,73516215,2,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,STA,259879577,3,-1,-1,10000,-1.0,82.0,0.05179524,0.071428575,0.1904762,0.04761905
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,NA,71771362,3,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,IDA,46432010,3,-1,-1,10000,-1.0,84.0,0.05179524,0.071428575,0.1904762,0.04761905
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,VITRIVR,323095031,3,-1,-1,10000,-1.0,97.0,0.05179524,0.071428575,0.1904762,0.04761905
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,CLUSTER,28787511,3,-1,-1,5967,-1.0,87.0,0.08680282,0.04761905,2.3333328,0.04761905
3584f2e1-e562-4e4c-bf25-476d5f68d972,KIST,5.0E9,LNA,73367303,3,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
